[2025-05-20 07:10:17,543] INFO in cache: Successfully connected to Redis at localhost:6379
[2025-05-20 07:11:42,368] INFO in server_improved: OPTIONS /check-initialization/ - 200 - 0.013s
[2025-05-20 07:11:42,368] INFO in server_improved: OPTIONS /check-initialization/ - 200 - 0.016s
[2025-05-20 07:11:42,499] INFO in server_improved: GET /check-initialization/ - 200 - 0.096s
[2025-05-20 07:11:42,520] INFO in server_improved: GET /check-initialization/ - 200 - 0.021s
[2025-05-20 07:11:46,353] INFO in server_improved: OPTIONS /login/ - 200 - 0.002s
[2025-05-20 07:11:47,090] INFO in server_improved: POST /login/ - 200 - 0.733s
[2025-05-20 07:11:50,118] INFO in server_improved: OPTIONS /branches/ - 200 - 0.000s
[2025-05-20 07:11:50,125] INFO in server_improved: OPTIONS /users/ - 200 - 0.003s
[2025-05-20 07:11:50,128] INFO in server_improved: OPTIONS /financial/total/ - 200 - 0.006s
[2025-05-20 07:11:50,131] INFO in server_improved: OPTIONS /activity/ - 200 - 0.008s
[2025-05-20 07:11:50,137] INFO in server_improved: OPTIONS /branches/ - 200 - 0.014s
[2025-05-20 07:11:50,137] INFO in server_improved: OPTIONS /users/ - 200 - 0.013s
[2025-05-20 07:11:50,137] INFO in server_improved: OPTIONS /financial/total/ - 200 - 0.012s
[2025-05-20 07:11:50,147] INFO in server_improved: OPTIONS /activity/ - 200 - 0.000s
[2025-05-20 07:11:50,253] INFO in server_improved: GET /branches/ - 200 - 0.098s
[2025-05-20 07:11:50,257] INFO in server_improved: GET /users/ - 200 - 0.102s
[2025-05-20 07:11:50,304] INFO in server_improved: GET /financial/total/ - 200 - 0.149s
[2025-05-20 07:11:50,318] INFO in server_improved: GET /branches/ - 200 - 0.018s
[2025-05-20 07:11:50,334] INFO in server_improved: GET /activity/ - 200 - 0.179s
[2025-05-20 07:11:50,338] INFO in server_improved: GET /financial/total/ - 200 - 0.035s
[2025-05-20 07:11:50,338] INFO in server_improved: GET /users/ - 200 - 0.053s
[2025-05-20 07:11:50,425] INFO in server_improved: GET /activity/ - 200 - 0.087s
[2025-05-20 07:17:23,129] INFO in server_improved: OPTIONS /branches/1 - 200 - 0.002s
[2025-05-20 07:17:23,330] INFO in server_improved: OPTIONS /transactions/ - 200 - 0.202s
[2025-05-20 07:17:23,571] INFO in server_improved: GET /branches/ - 200 - 0.150s
[2025-05-20 07:17:23,650] INFO in server_improved: GET /branches/ - 200 - 0.048s
[2025-05-20 07:17:23,669] INFO in server_improved: GET /transactions/ - 200 - 0.233s
[2025-05-20 07:17:23,733] INFO in server_improved: GET /transactions/ - 200 - 0.035s
[2025-05-20 07:17:23,774] INFO in server_improved: GET /branches/1 - 200 - 0.236s
[2025-05-20 07:17:23,798] INFO in server_improved: OPTIONS /transactions/ - 200 - 0.001s
[2025-05-20 07:17:23,825] INFO in server_improved: GET /branches/ - 200 - 0.026s
[2025-05-20 07:17:23,862] INFO in server_improved: GET /transactions/ - 200 - 0.063s
[2025-05-20 07:17:23,884] INFO in server_improved: GET /transactions/ - 200 - 0.045s
[2025-05-20 07:17:24,087] INFO in server_improved: GET /transactions/ - 200 - 0.213s
[2025-05-20 07:17:25,442] INFO in server_improved: GET /branches/1 - 200 - 0.006s
[2025-05-20 07:17:25,453] INFO in server_improved: GET /branches/1 - 200 - 0.006s
[2025-05-20 07:17:25,649] INFO in server_improved: GET /branches/1 - 200 - 0.010s
[2025-05-20 07:17:52,238] INFO in server_improved: OPTIONS /branches/ - 200 - 0.003s
[2025-05-20 07:17:52,243] INFO in server_improved: OPTIONS /branches/ - 200 - 0.007s
[2025-05-20 07:17:52,266] INFO in server_improved: GET /branches/ - 200 - 0.019s
[2025-05-20 07:17:52,288] INFO in server_improved: GET /branches/ - 200 - 0.015s
[2025-05-20 07:18:00,854] INFO in server_improved: OPTIONS /branches/ - 200 - 0.000s
[2025-05-20 07:18:00,900] INFO in server_improved: POST /branches/ - 200 - 0.041s
[2025-05-20 07:18:00,929] INFO in server_improved: GET /branches/ - 200 - 0.017s
[2025-05-20 07:18:05,514] INFO in server_improved: GET /branches/ - 200 - 0.044s
[2025-05-20 07:18:05,550] INFO in server_improved: GET /branches/1 - 200 - 0.037s
[2025-05-20 07:18:05,550] INFO in server_improved: GET /branches/ - 200 - 0.025s
[2025-05-20 07:18:05,550] INFO in server_improved: GET /transactions/ - 200 - 0.030s
[2025-05-20 07:18:05,601] INFO in server_improved: GET /transactions/ - 200 - 0.030s
[2025-05-20 07:18:05,622] INFO in server_improved: GET /branches/ - 200 - 0.050s
[2025-05-20 07:18:05,623] INFO in server_improved: GET /transactions/ - 200 - 0.041s
[2025-05-20 07:18:05,662] INFO in server_improved: GET /transactions/ - 200 - 0.034s
[2025-05-20 07:18:05,690] INFO in server_improved: GET /transactions/ - 200 - 0.019s
[2025-05-20 07:18:10,031] INFO in server_improved: GET /branches/1 - 200 - 0.003s
[2025-05-20 07:18:10,031] INFO in server_improved: GET /branches/1 - 200 - 0.000s
[2025-05-20 07:18:10,180] INFO in server_improved: GET /branches/1 - 200 - 0.006s
[2025-05-20 07:18:48,310] INFO in server_improved: GET /branches/ - 200 - 0.019s
[2025-05-20 07:18:48,328] INFO in server_improved: GET /branches/ - 200 - 0.015s
[2025-05-20 07:18:54,901] INFO in server_improved: OPTIONS /branches/1/allocate-funds/ - 200 - 0.001s
[2025-05-20 07:18:54,953] INFO in server_improved: POST /branches/1/allocate-funds/ - 200 - 0.046s
[2025-05-20 07:18:54,985] INFO in server_improved: GET /branches/ - 200 - 0.016s
[2025-05-20 07:18:57,007] INFO in server_improved: GET /branches/ - 200 - 0.013s
[2025-05-20 07:18:57,024] INFO in server_improved: GET /branches/ - 200 - 0.011s
[2025-05-20 07:18:57,057] INFO in server_improved: GET /branches/1 - 200 - 0.026s
[2025-05-20 07:18:57,069] INFO in server_improved: GET /transactions/ - 200 - 0.036s
[2025-05-20 07:18:57,126] INFO in server_improved: GET /transactions/ - 200 - 0.036s
[2025-05-20 07:18:57,126] INFO in server_improved: GET /branches/ - 200 - 0.034s
[2025-05-20 07:18:57,146] INFO in server_improved: GET /transactions/ - 200 - 0.041s
[2025-05-20 07:18:57,172] INFO in server_improved: GET /transactions/ - 200 - 0.021s
[2025-05-20 07:18:57,193] INFO in server_improved: GET /transactions/ - 200 - 0.017s
[2025-05-20 07:18:58,274] INFO in server_improved: GET /branches/1 - 200 - 0.006s
[2025-05-20 07:18:58,283] INFO in server_improved: GET /branches/1 - 200 - 0.006s
[2025-05-20 07:18:58,358] INFO in server_improved: GET /branches/1 - 200 - 0.009s
[2025-05-20 07:19:54,632] INFO in server_improved: GET /branches/ - 200 - 0.011s
[2025-05-20 07:19:54,647] INFO in server_improved: GET /branches/ - 200 - 0.013s
[2025-05-20 07:19:54,693] INFO in server_improved: GET /branches/1 - 200 - 0.018s
[2025-05-20 07:19:54,709] INFO in server_improved: GET /transactions/ - 200 - 0.030s
[2025-05-20 07:19:54,759] INFO in server_improved: GET /transactions/ - 200 - 0.033s
[2025-05-20 07:19:54,762] INFO in server_improved: GET /branches/ - 200 - 0.034s
[2025-05-20 07:19:54,774] INFO in server_improved: GET /transactions/ - 200 - 0.044s
[2025-05-20 07:19:54,803] INFO in server_improved: GET /transactions/ - 200 - 0.026s
[2025-05-20 07:19:55,054] INFO in server_improved: GET /branches/1 - 200 - 0.005s
[2025-05-20 07:19:55,062] INFO in server_improved: GET /branches/1 - 200 - 0.005s
[2025-05-20 07:19:55,154] INFO in server_improved: GET /transactions/ - 200 - 0.022s
[2025-05-20 07:19:55,324] INFO in server_improved: GET /branches/1 - 200 - 0.027s
[2025-05-20 07:20:19,171] INFO in server_improved: GET /branches/ - 200 - 0.016s
[2025-05-20 07:20:19,224] INFO in server_improved: GET /branches/ - 200 - 0.044s
[2025-05-20 07:20:26,436] INFO in server_improved: OPTIONS /branches/2/allocate-funds/ - 200 - 0.002s
[2025-05-20 07:20:26,483] INFO in server_improved: POST /branches/2/allocate-funds/ - 200 - 0.040s
[2025-05-20 07:20:26,514] INFO in server_improved: GET /branches/ - 200 - 0.015s
[2025-05-20 07:20:32,873] INFO in server_improved: GET /branches/ - 200 - 0.020s
[2025-05-20 07:20:32,896] INFO in server_improved: GET /branches/ - 200 - 0.019s
[2025-05-20 07:20:34,580] INFO in server_improved: GET /branches/ - 200 - 0.009s
